,n_neighbors,rps_train,std_train,rps_test,std_test
0,207,0.10903219186523778,0.0006329303268954809,0.1098768495180751,0.0023829901480139407
1,224,0.10915930047124364,0.0006405511529534497,0.10996325434470663,0.002320987530846257
2,214,0.10907399899367158,0.0006186353211213507,0.10989959385099136,0.0023903216260808316
3,392,0.11100976025014882,0.0006123250067770117,0.11159811073185652,0.0021712777902974877
4,47,0.10887555423848543,0.0006058293131734013,0.11036764938886374,0.002491347157951072
5,221,0.10913587600258187,0.0006300084916437183,0.10995443966135007,0.002342991197698082
6,88,0.10851015502138243,0.0005876556613689404,0.1097456627711777,0.0024354935434808033
7,81,0.10853019813031002,0.0005785643392948225,0.10980832952293856,0.002468535701904841
8,249,0.10938347212599142,0.0006377326414376894,0.1101472774632667,0.0023176119616805536
9,95,0.10845341611179884,0.0006270857451921181,0.10972546952908588,0.0023412677523315445
10,416,0.11127436529304072,0.0006035739257623799,0.11181974252554087,0.0021999590552880597
11,400,0.11109697223458696,0.0006038316779455337,0.11166109453125,0.0021876960745007587
12,492,0.11222560868855277,0.000600269868006289,0.11267257564115275,0.0020941361213022854
13,152,0.10865704694064134,0.0006211156216292151,0.10962313344009694,0.0024145837819329594
14,97,0.10845531873369271,0.0006375340744998235,0.10969706265277926,0.0023823636719856375
15,368,0.11072795533711836,0.0006086938040404041,0.11134482948000354,0.0022410086126901925
16,375,0.11080959514679319,0.000614252851529032,0.11142308186666666,0.0022158103470541696
17,451,0.11167098281477092,0.0006051088838467449,0.11216569295382028,0.0021407643068148733
18,295,0.1098597089147545,0.0006408379732249056,0.11053335392128699,0.002298788718601569
19,15,0.11278866014230138,0.0007390214302055815,0.11521866666666669,0.0025105569848820767
20,142,0.10861684682243566,0.0006248418605892782,0.10961353030152747,0.0023870689879558196
21,373,0.11078466441616175,0.0006153534074088364,0.11140385586398234,0.0022292287784915037
22,399,0.11109024403087839,0.0006094852686520855,0.1116550831181965,0.002172452737338958
23,69,0.1085621327508824,0.0006389725138106151,0.10989293215710984,0.0024042079840917467
24,148,0.10864584379817091,0.0006229006371936827,0.10962129120252007,0.002384537621186067
25,186,0.10886272967533277,0.0006096342456843571,0.10974427318187072,0.0024353649757589404
26,192,0.10889960017104434,0.0006106098778934601,0.10977072618272568,0.0024243341240748183
27,157,0.10868589201158078,0.0006161829163151407,0.10961338036025801,0.002401210301899961
28,91,0.1084903651913128,0.0005866012123621995,0.10975199855089966,0.002423288745779653
29,433,0.1114746079975332,0.0005917335316792222,0.11200755630997018,0.002178020438856634
30,438,0.11153080300527977,0.0005960297196550597,0.11204704844821833,0.002171741569641183
31,61,0.10862775352203968,0.0006257382677877264,0.11004030838484277,0.002452874872694889
32,406,0.11116803937975565,0.0006099392672053603,0.11171796467397899,0.002182840859015016
33,494,0.11224976133173692,0.0005989514088848385,0.11269362727220573,0.002098599113416929
34,489,0.1121784316264786,0.0006086872322930934,0.11264399880186181,0.0020910896973329166
35,335,0.11034523021968712,0.0006379051595717417,0.11099834695923369,0.0022906746380213336
36,3,0.14264196014918787,0.00482510807748239,0.1456861111111111,0.005956309137734506
37,303,0.10994119497062552,0.0006367613743014162,0.11061357451339195,0.00229350557416751
38,419,0.11131403406343258,0.0006001441560711801,0.11185544732315264,0.00220479211806879
39,291,0.10981488992038883,0.0006332297543283007,0.1104943084930504,0.002291495953604344
40,271,0.10958721744214257,0.0006254746594503324,0.1103322420378263,0.0022956763433814044
41,21,0.11121861814305523,0.0008107375287296262,0.1134717120181406,0.0025333511083921157
42,455,0.11171843809610715,0.0006160247466087082,0.11222193684337639,0.0021206712327601048
43,18,0.11183919345071569,0.0009158406539000975,0.1141883487654321,0.002410782852064467
44,384,0.11092154315052756,0.0006112328134188537,0.11152228122287326,0.0021845138113930187
45,146,0.10863920746996251,0.0006246048835728451,0.10960255969694126,0.002395912589801732
46,488,0.11216296295432696,0.0006089487251243215,0.11263003140956732,0.0020868806561121283
47,141,0.10861036790708815,0.0006227531361190169,0.1096152010713747,0.002386248276717665
48,185,0.10885469846819229,0.0006107447077886085,0.10973531482834185,0.0024458033002039397
49,38,0.10929003309804722,0.0005348395043500201,0.1109956024930748,0.002586529256555927
50,31,0.10974751729802375,0.0006992226565631296,0.11147553329864725,0.002571358877161997
51,240,0.10929485037894726,0.0006385406899207816,0.11003934223090278,0.002323996143405662
52,329,0.11026584837005811,0.0006411636291614855,0.11091342709786495,0.0022983636507406427
53,418,0.11130007967890618,0.0006022697937586921,0.11184522854616423,0.002188628861391308
54,315,0.11008524271037878,0.0006416454294423371,0.110749661627614,0.002295143322342736
55,262,0.10950275780032455,0.0006308685307228846,0.11026952920138687,0.0022894528636775175
56,468,0.1118842399456963,0.000611813993853252,0.112373398291968,0.0021030871868861073
57,475,0.11197808775668291,0.0006077767925393589,0.11246219119113574,0.002103437276625901
58,193,0.10890951958135023,0.0006082248959088245,0.10977979341727294,0.0024085544611000946
59,134,0.10858910189554913,0.0006123266634797612,0.10964059088883937,0.002375612240187335
60,132,0.10858483816010697,0.000613668058238696,0.10964336045110191,0.002385086062655398
61,424,0.1113737551556234,0.0005917061632058332,0.11191064713866146,0.0021877845830473998
62,408,0.11119168660452308,0.0006116082907908585,0.11175379413867263,0.0021835117396005826
63,390,0.11099050316454828,0.000614240364878149,0.11157254191321499,0.0021820048767013317
64,327,0.11024399771444937,0.000643334575797462,0.11088872780069016,0.0022923854981066892
65,45,0.10890730746253659,0.0005384034653170221,0.11042819753086419,0.002560111730605966
66,76,0.10853196568107752,0.000570798637280003,0.10986104354224376,0.002510506236090707
67,20,0.11132419733330982,0.0008183561702167884,0.11368309375,0.0024634364916576424
68,453,0.11168622005778525,0.000613560335207143,0.11218203185532798,0.002124988504404191
69,495,0.1122623826131343,0.0005998415303347469,0.11269992980308131,0.002094995341118915
70,217,0.10910361256670334,0.0006204610024244034,0.10993765741468282,0.002364949783800563
71,140,0.10861653379869914,0.0006162391621464556,0.10960400637755104,0.00239455491388057
72,87,0.10851222445322888,0.0005902284528171562,0.10974319593077025,0.0024305953877889605
73,337,0.11036906286293542,0.0006345347065366781,0.11100766417332193,0.002295959930898833
74,131,0.10857276878632512,0.0006202822562865217,0.10964099994172834,0.002391128908601351
75,110,0.10844899868058581,0.0006595372263583647,0.10958146797520663,0.002393290831168967
76,339,0.11039100404443461,0.0006363613926178448,0.11103461062381985,0.00228677363427086
77,115,0.10846329188098483,0.0006403125849816084,0.10953859829867674,0.002378665484889073
78,149,0.10865219769052861,0.0006222561256647996,0.10960815447502364,0.0023981902727139657
79,43,0.10901794237669962,0.0005861601319172556,0.11056239183342348,0.0025064853249433276
80,17,0.11221529542837985,0.0007761438684873395,0.11461552768166092,0.002565364934576844
81,123,0.10851723417650246,0.0006352200268223752,0.10954358764624232,0.0024354541304317094
82,16,0.11231132306318811,0.0005974238722338047,0.114739306640625,0.0026619299431587078
83,82,0.10853457540699278,0.0005875685596848106,0.10982585886377158,0.0024553689021223524
84,85,0.10852279561360512,0.0005833290080595593,0.1097808875432526,0.002437369735855353
85,218,0.10911415108270917,0.000621198150231331,0.10992858424164634,0.0023596258465650075
86,25,0.11052217310386414,0.0009118787054922713,0.11253892,0.002564994127655997
87,170,0.10874468092394782,0.000612729252289974,0.10960410207612456,0.0023743863710387688
88,394,0.11102930764197425,0.0006068467498588533,0.11161330901015229,0.002183275572925553
89,173,0.10876164485697182,0.0006121836151142326,0.10963515277824186,0.0023862673730146804
90,412,0.11123149087493811,0.0006049079932395578,0.11178725404137994,0.0021908110060734763
91,48,0.10885170959538767,0.0005840428992589776,0.1103295138888889,0.002525854700857714
92,298,0.10988962815553219,0.0006419854839891156,0.11055749220192783,0.0022882821304801445
93,172,0.10875829094619163,0.0006130236202201137,0.10962329046106001,0.002379884460519328
94,307,0.10998567472305568,0.0006401490984605793,0.11064909269594372,0.002284940901658125
95,340,0.1104029264418055,0.0006351109699390485,0.11104684926470589,0.0022803080724688963
96,188,0.10886733436417613,0.0006137706416004852,0.10974418642485287,0.0024290581435960296
97,485,0.11212077960414905,0.0006085884613201906,0.11258456578807524,0.0020925994896356616
98,147,0.10864067667888666,0.0006267290985381012,0.10959817784256559,0.002394728529544697
99,219,0.10911852194509963,0.0006299435798457971,0.10993337477325327,0.002353725206816638
