,n_neighbors,rps_train,std_train,rps_test,std_test
0,313,0.2161633029525774,0.0003994855558775421,0.21702909109003868,0.0013656329920480365
1,50,0.21576731534010635,0.0005442807435717734,0.21756521499999998,0.0015465515112702425
2,382,0.21684992486062593,0.00038380454264764493,0.2176678877360818,0.001262796388381284
3,499,0.2177765431235134,0.00032945340099444,0.21844767089288797,0.0012108183175847482
4,25,0.21980838180789392,0.0011335554117167291,0.22187984000000002,0.0029819681318377905
5,274,0.21562890759436434,0.00039581151511854323,0.21659532107464438,0.001309547588488242
6,159,0.2145248643174033,0.00036314972526051706,0.21551432548158694,0.0015831486587176177
7,246,0.21533326503195344,0.0003800622128320295,0.21629564288783132,0.0013628442608416866
8,334,0.2164162147104911,0.0004023056715203133,0.2172459534897271,0.0013566329083299399
9,394,0.21695421036761142,0.0003686720793111137,0.21774771179043523,0.0012456261573773094
10,471,0.2175842861014262,0.00035540150442435296,0.21830458368831732,0.0012331838955411505
11,161,0.2145062308825228,0.0003674989655754582,0.21547867800239193,0.0015741746804521686
12,422,0.2172057991274468,0.0003613781644509634,0.21798290834662293,0.001234707869881588
13,450,0.2174486341524929,0.0003730053572455097,0.21819287419753086,0.0012357738351668097
14,119,0.21443259988867505,0.00039727052598874146,0.21564421121389732,0.0013921841368482154
15,183,0.21470517624680915,0.00038366121439604365,0.21561907753292126,0.0015193050399339707
16,199,0.21482939099336246,0.00042086031371312905,0.21573135874094088,0.0014640391490168708
17,319,0.2162379257126294,0.0003962482193798646,0.2170818834081819,0.0013540352550424277
18,17,0.22422955720890117,0.0016283100284468608,0.22627538927335641,0.002096859979503273
19,85,0.21471005513196192,0.0005103722300425616,0.21635513148788926,0.0014372210544671123
20,45,0.21616236982823356,0.0007005138582769514,0.21785374074074074,0.0017351430846193076
21,465,0.21754604308032593,0.0003621297181520788,0.21826285963695227,0.001231847609018762
22,315,0.21619802559923396,0.0004043494987031566,0.21705247518266568,0.0013578869083314684
