,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,rps_train,std_train,rps_test,std_test
0,0.9,0.1,3,4,968,1.0,0.140692111575224,0.0008403626396882172,0.17683184965512036,0.0036068750640119323
1,0.9,0.1,5,1,88,0.8,0.1568814001313022,0.0007625414076999635,0.17347417014396352,0.0032695616825639067
2,0.7,0.01,5,1,133,0.9,0.17795157272111836,0.0006904585817897833,0.18118461695365903,0.002768585164977221
3,1.0,0.1,4,2,407,0.9,0.13918945867171054,0.0005783774945160781,0.17549689946472866,0.003442075467360854
4,1.0,0.05,3,3,517,0.7,0.16033701313566823,0.000758028673331786,0.17357116163968944,0.003251869789299533
5,0.7,0.1,3,2,134,0.9,0.166120070290338,0.0007939236968005094,0.17281837837370684,0.0032850690846463007
6,0.8,0.1,4,1,808,0.9,0.11358488794260166,0.0007547528563908076,0.17839560436179813,0.0035397469838481742
7,1.0,0.01,1,3,274,0.9,0.1845749430619718,0.000674558223244111,0.18500954074072157,0.002288632494087918
8,0.7,0.1,4,2,91,0.9,0.16414273921398198,0.000764097012779912,0.17301183404667966,0.0033397544125598998
9,1.0,0.05,4,3,141,0.9,0.16555287262544424,0.0008009213740035023,0.1728307519042344,0.0033117657477281367
10,0.7,0.05,3,4,742,0.8,0.15693288729170857,0.0007769393184789321,0.17395602848335562,0.0033890019219531245
11,0.6,0.05,1,4,783,0.7,0.17020484370693734,0.0007989150439527718,0.1729543449688888,0.003218729415750655
12,1.0,0.05,3,3,964,0.7,0.15154929270298156,0.0007429368962039337,0.1746650198976227,0.003382420079067389
13,1.0,0.1,2,3,951,0.7,0.1570381203236027,0.0008220132626769557,0.17508624014800703,0.0035097806354607874
14,0.9,0.05,5,3,858,1.0,0.12406794602290158,0.0006857506156519255,0.17696025493970954,0.00326042889146558
15,1.0,0.1,5,2,956,0.9,0.06794507661888735,0.0003532045095086004,0.18306001824967177,0.003842965724713251
16,0.9,0.1,4,4,469,0.9,0.13680746355683332,0.0006551652896854279,0.1760438925559519,0.003596431405896705
17,0.9,0.05,4,4,582,0.8,0.14835323325864988,0.0007879230958792901,0.174350905993217,0.003353880535273043
18,0.7,0.1,5,4,319,0.7,0.13006142282372374,0.0007479168636075413,0.17628141513292533,0.0029855516651329677
19,0.7,0.01,5,3,990,0.8,0.15666729370971808,0.0007448084057568334,0.17307812709139508,0.003277677858093836
