,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,rps_train,std_train,rps_test,std_test
0,0.6,0.01,1,1,926,0.8,0.19828416836438348,0.0003901120216578219,0.1988291547554601,0.0014438088443047715
1,0.6,0.01,4,1,925,1.0,0.19356710358881107,0.00032394855973102125,0.19802022926351748,0.0017359324172254676
2,0.9,0.1,4,3,35,0.9,0.19584860689027483,0.0003543350387926163,0.19819572430652413,0.0015329763197999137
3,0.8,0.01,2,3,123,0.9,0.20888221049738664,0.0002810509282902398,0.2092209987019184,0.0008539722393680818
4,0.8,0.1,2,3,632,1.0,0.19326458627936277,0.0003889109738766072,0.19845697936223564,0.0018164589267402637
5,0.7,0.05,3,3,971,1.0,0.1898249719648542,0.00034385021120248067,0.19895770309159216,0.001682699564211159
6,1.0,0.1,3,1,526,1.0,0.18912307083847024,0.0002951339322654598,0.19926803357248726,0.0018084757352023384
7,0.6,0.1,1,4,355,0.7,0.1965110366587693,0.000426340166112939,0.197768071215381,0.001778380493042548
8,0.6,0.1,2,4,129,0.7,0.1961043747741335,0.00038149527539077283,0.19776777280974656,0.0017178629918334352
9,1.0,0.1,4,3,729,1.0,0.176326459439109,0.0001686103784307375,0.2017394356880717,0.001295267063856088
10,0.9,0.05,3,2,703,0.9,0.19048174222453312,0.0003073647654660139,0.19875225766844956,0.001765033251034772
11,0.8,0.05,3,3,603,1.0,0.19205027881503986,0.0003431892583014667,0.19845031441275407,0.001716341633786141
12,0.7,0.05,3,3,734,0.7,0.19057715634395483,0.00032379113240959656,0.19860411525108074,0.0016476854603432254
13,0.6,0.05,3,2,116,1.0,0.19607755508553415,0.0003767620890020113,0.19794823675954815,0.001628065929444008
14,0.9,0.05,2,3,880,0.9,0.19386438407591633,0.00037958302648555937,0.19823764404314526,0.0018144021412634162
15,0.9,0.1,5,4,881,0.9,0.15203532143295734,0.00024446854506716097,0.20522809988390295,0.001111805248871462
16,0.8,0.1,1,3,513,0.8,0.19623631908428163,0.00040923614122741084,0.1978130150882133,0.0018080245692696111
17,0.6,0.05,5,1,502,0.7,0.17989051153097552,0.000247325822954421,0.19957837065837344,0.0015002505512174472
18,0.7,0.01,2,4,684,0.8,0.19693037766535404,0.0003797239029197894,0.19800543298283002,0.0015677179014213936
19,0.7,0.05,5,2,313,1.0,0.18777795564614794,0.000257801221673512,0.19871660782123965,0.001711488219593906
20,1.0,0.05,5,4,393,1.0,0.1854366331263358,0.00020049932035041875,0.1991741081351149,0.0014048167759160715
21,1.0,0.01,1,1,804,0.9,0.19875313938725397,0.000382199854997978,0.19928793819864418,0.0014105545432923584
22,0.6,0.1,4,1,64,0.9,0.1943659840992216,0.00037036974765792895,0.19792711745137062,0.0016587332183994156
23,0.8,0.05,3,2,992,1.0,0.18958352873109144,0.00026318822278930586,0.19909337820377254,0.0018030128973554314
24,0.6,0.01,2,2,244,0.7,0.2015711884689269,0.0003445256675404324,0.2020812844334886,0.001149511591446015
25,0.9,0.01,3,3,547,0.7,0.19604808476793245,0.00036612733248389903,0.19787401042069022,0.0015951718510772224
26,1.0,0.05,3,2,495,0.9,0.19209238066414702,0.000333823057175429,0.19839617674834195,0.0017668705190678124
27,0.6,0.1,5,3,851,0.8,0.15484213333057437,0.00033386728843707696,0.20490533902445954,0.0011335129101798793
28,0.8,0.1,5,3,53,1.0,0.19290073548333317,0.00031661072600874525,0.19815611210770534,0.0015688159565107472
29,0.6,0.1,1,2,486,0.7,0.19625201506565593,0.0004236155953861158,0.19777999178408381,0.0018334222434030361
30,0.8,0.01,4,2,162,0.8,0.20048690312815226,0.00032202761597088276,0.20171867954644257,0.0011985272657210869
31,0.6,0.01,3,4,185,0.9,0.20128814240267748,0.0003320508882159364,0.2020477233891013,0.0011690562401161784
32,0.8,0.01,3,1,719,1.0,0.1956342693234907,0.0003699846233462547,0.19789704806118433,0.0016691756606901865
33,0.9,0.05,5,2,726,0.8,0.17244600454374526,0.00014875597167695744,0.20094217495878527,0.0012663912737344298
34,0.8,0.05,2,2,904,0.7,0.19369526178388388,0.0003570141366434352,0.1981797640570623,0.001820676474383168
35,1.0,0.01,4,3,521,0.8,0.19463807819191833,0.00034460295177182336,0.19791031418103824,0.0016013816393356118
36,0.9,0.05,4,1,94,1.0,0.19503181797842026,0.00034399759567415683,0.19803653580202457,0.0015783218307610133
37,0.9,0.05,3,4,622,1.0,0.19191664846613318,0.0003619941500871859,0.19851910623745175,0.0017004735229644173
38,0.8,0.05,1,1,920,0.8,0.19626665793844622,0.0004102931543402422,0.1977971601443111,0.0018158385864323055
39,1.0,0.01,1,3,510,0.9,0.20091445434607258,0.0003639545360310159,0.20131390591543255,0.0012410754195718392
40,1.0,0.05,5,3,154,0.9,0.19081012727437124,0.0003071137329871016,0.1982599003366413,0.0016370277241861964
