,n_neighbors,rps_train,std_train,rps_test,std_test
0,252,0.18924367386439175,0.0004260346183305815,0.19066339620338876,0.0011691463241713636
1,29,0.17005090360231906,0.0003641048748731547,0.1825320451843044,0.0017144837202841088
2,68,0.17837135012538693,0.0004604283950444536,0.18373618349913498,0.001567878425484459
3,389,0.19275058272190082,0.0003920905549030435,0.19369312025429386,0.0011237738188679804
4,431,0.19360169677442987,0.0004008161944737376,0.19442724320497842,0.001128582824276056
5,257,0.18939717322012298,0.0004159331553093551,0.19082926842192918,0.0011743111069681957
6,24,0.1678690157077774,0.0003859451787105791,0.18282159288194444,0.0016817900747443746
7,346,0.19180531331072267,0.0003982896930054192,0.19285912378044706,0.0011574478700880119
8,59,0.17710722183750988,0.0003937296765043703,0.1832303504740017,0.001573859426702483
9,454,0.1940314271544272,0.0003886281968012486,0.19480418532525376,0.0011324571585297502
10,234,0.18867431093425274,0.00042398152833693283,0.19021056254109142,0.0012193182010151846
11,6,0.14150998450173477,0.00040675730723618283,0.19836354166666667,0.0020069518777733743
12,32,0.1711286649849006,0.0003612146676324662,0.18246513671875,0.001586341347848619
13,390,0.19277097929941683,0.00039070131146140747,0.19370759861932937,0.0011200128508954796
14,47,0.17496825095254684,0.0004332529243646121,0.18268928248076052,0.0017126170419601752
15,109,0.18241478222560398,0.00045735590206706384,0.18569335914485313,0.001364142675100535
16,269,0.18976559526773273,0.0004099753026805795,0.1910895024598886,0.0011609272570770723
17,423,0.19345507328320957,0.00040069101826200205,0.1943046191506128,0.0011315540964189086
18,470,0.19431227754032926,0.00038487231987563,0.19504053168854685,0.0011260484213045973
19,260,0.18948974514675396,0.00041934551285952867,0.19088930140532548,0.0011788564982957452
20,154,0.1852965596614761,0.00041320573860143374,0.18764339264631474,0.0013060219638683622
21,356,0.19203115239755092,0.00038577778424294946,0.19303497112107057,0.0011413333667235127
22,22,0.16678447756519915,0.000411055164571561,0.18306009814049584,0.0016985093293805631
23,498,0.1947607397410057,0.00037786762305348727,0.19547380984782506,0.0011311442850148676
24,16,0.16225098045585667,0.00041214723351923674,0.184320556640625,0.0015400898577767358
25,481,0.19449379975383727,0.00038246979921374296,0.19520335995478927,0.001124080706060079
26,130,0.18385247102345156,0.0004134097019395673,0.18667364644970416,0.0013100807446350914
27,5,0.1356248722581957,0.0004063380930729328,0.20440100000000003,0.002542991458812602
28,43,0.17409326666512123,0.00039360625792043947,0.18251484586262845,0.001666492564129119
29,442,0.1938189184906703,0.00039485064305093593,0.1946075538482013,0.0011472493207531974
30,74,0.1790837264979868,0.000463366124003717,0.1840269380021914,0.0015588227147326197
31,330,0.1914320347357196,0.0004042904494721665,0.19252769100091827,0.0011561505020780364
32,34,0.17172423731695732,0.0003213260981321432,0.18240110294117648,0.001618039312016002
33,366,0.19225727747396054,0.00038993042289587574,0.1932410820530622,0.0011386131575671743
34,144,0.18474168736980295,0.0004127870782336254,0.1872316990981867,0.0013325225294327234
35,93,0.1810495824117258,0.00045476409730821923,0.1848834590704128,0.0014982068247846414
36,192,0.18704837076069303,0.00042022579465673954,0.18895052897135417,0.0013175424389285347
37,209,0.1877332298172735,0.0004278028074460591,0.18945854461894188,0.0012409418999873867
38,413,0.19325171194307408,0.0003975466882714355,0.19413298884908745,0.0011428344767318928
39,282,0.19015339848756388,0.0003990972982693831,0.1914142677053468,0.0011599597040024634
40,370,0.19234166909938546,0.00039895952969740936,0.19332366517531047,0.0011478527310600825
41,446,0.19389341483987174,0.00039025259616494933,0.1946676510436566,0.001145003073631269
42,400,0.19298757565746957,0.0003952213386174465,0.193884370859375,0.0011267243625880917
43,406,0.19311333028011277,0.00039445893360836687,0.19401033269431434,0.0011253530247009784
44,101,0.18175002291505526,0.00046559156206065215,0.18530353519262818,0.0014261744349012343
45,272,0.18984798758692228,0.0004117426774756048,0.19116187925767733,0.0011615246370819316
46,203,0.1874928704424369,0.00043113155465086887,0.18925705822757166,0.0012610059694819762
47,259,0.18945674963583148,0.00041284223576430306,0.19087005541807667,0.0011704121437947038
48,464,0.19420384884318465,0.00038399572806329865,0.1949605112844642,0.0011410284830506282
49,364,0.19220833240067564,0.0003900634961409656,0.1931905912253955,0.0011371974496001383
50,245,0.1890226706073622,0.0004286140406707224,0.1904995843398584,0.0011962728378521563
51,388,0.192731910826686,0.00039249964280273534,0.1936728693106334,0.0011280695521287745
52,51,0.17574096931184804,0.00037552017739493875,0.18291860822760475,0.0016968067903944302
53,161,0.18563752519421808,0.0004337446186140025,0.1878998866748968,0.0013294492386498897
54,175,0.18630857920506466,0.00043948067379658197,0.18839601346938775,0.0013402137960923342
55,15,0.16120653196534607,0.00043449943498330857,0.18462033333333333,0.0013035964945416806
56,249,0.18915035079471448,0.000425091159394984,0.19058438432444638,0.0011711245978356627
57,472,0.19434680447883626,0.00038240720447056155,0.1950716865888035,0.0011260040397510598
58,367,0.19227770970972977,0.00039685196140327127,0.19326340681124665,0.001141945433215888
59,123,0.18341875892763976,0.00043083239515494097,0.1863739184678432,0.0012995900508869257
60,408,0.19315498425225514,0.0003942144225934355,0.19405047007160706,0.00113083834494331
61,251,0.18921035138570802,0.0004248093131223174,0.19064432350280153,0.0011689341706787556
62,83,0.18008724370650622,0.00046643751316667673,0.18443138336478446,0.001548558399670121
63,424,0.19347714634350746,0.0004029389697538488,0.1943165918976949,0.0011370554021138022
64,352,0.19194437948872942,0.00038906654701899323,0.1929572685304752,0.0011449402309353285
65,106,0.18215600118298003,0.0004625446422951247,0.18554938367746526,0.0013776332342676043
66,415,0.19329592778631366,0.00039479183640550233,0.19416691914646536,0.001140703753721425
67,378,0.19252242167228578,0.00039058250649191107,0.1934723181041964,0.0011362983531439555
68,172,0.18616244287100217,0.00044304317389318426,0.18828828505273124,0.0013345222209900415
69,25,0.1683624028226,0.0004026943967466672,0.18271054,0.001691445262305214
70,58,0.1769559892064944,0.0003825791990185578,0.18320882505945305,0.0015980550952529571
71,332,0.191473595548665,0.00040766702596739605,0.19257905560494992,0.0011457552517439122
72,276,0.18996141898445312,0.0004150564964262799,0.1912556285772422,0.0011491407069206315
73,362,0.19216197296487297,0.0003870749786553356,0.19315018467079761,0.0011431742561090847
74,298,0.19059920611005243,0.0004154974264670471,0.19177635044592586,0.0011873726427005964
75,450,0.19396335721923716,0.0003894579074189605,0.19474686333333333,0.0011412882218296884
76,235,0.18870193694456275,0.00042681418625492676,0.19023859755545494,0.0012183747221990258
77,350,0.19189407907952613,0.0003865413424171406,0.19292235367346935,0.0011511091637433615
78,296,0.19054638708420762,0.00041616093365884907,0.19172682572247077,0.0011870286096829952
79,88,0.1805785997308852,0.0004704827088455209,0.1846527521306818,0.0014854336654891683
80,417,0.1933370943647495,0.0003999064808665492,0.1941990145293837,0.0011415425427266093
81,425,0.19349511854043253,0.0004010885452506918,0.19433609051903114,0.0011353971578396327
82,138,0.18438103417790602,0.00038801504482540014,0.1869819647920605,0.001268892008570532
83,322,0.19123011358726752,0.0004087589529796312,0.1923501801145789,0.0011805603337497748
84,434,0.19366686442276787,0.0003930858895647981,0.19447158061065214,0.0011373009507287242
85,12,0.15748226367210844,0.00033185944874020623,0.1865512152777778,0.0015576922505925346
86,483,0.19453169971142042,0.000387246714735047,0.19523532431876345,0.0011288819729332476
87,467,0.19425695300239898,0.0003839169133700843,0.19500283376282163,0.0011193547068912124
88,323,0.19125434369675148,0.00041288210397918116,0.19237616182940503,0.0011729381821815302
89,393,0.19283630393429815,0.0003915514641049971,0.19375306047627372,0.0011164681263806206
90,302,0.19071639437604943,0.0004118945747249963,0.19187882617538704,0.001194523759614636
91,85,0.1802867809958481,0.0004739328340155681,0.18452191868512113,0.0015634032609039199
92,433,0.19364468714326435,0.00039630459563583535,0.19446191963261847,0.0011360838282402418
93,492,0.1946704533415269,0.0003768538581361434,0.19538237041650142,0.0011367095546208803
94,197,0.1872491570999352,0.000428197795672287,0.18910476435878273,0.0012660769693577456
95,428,0.1935498577573999,0.0003995797460846202,0.19438110731559521,0.0011286222011635608
96,444,0.19385562157614258,0.000395073957081416,0.19463512689209478,0.0011408315903315173
97,254,0.18931425492036327,0.0004223535590642666,0.19072961726548454,0.0011763507891710946
98,453,0.19401325539299288,0.0003909863574342973,0.19478392047863394,0.0011378217732116432
99,182,0.18662541296099694,0.0004241352878429353,0.18864410019925132,0.0013212554269071202
