,val_loss,val_acc,val_rps_loss,loss,acc,rps_loss
0,1.0103933316248839,0.5391384051347267,0.20211436890368428,0.8992946643352508,0.57985,0.17558387033939363
1,0.8267859956994539,0.6131377940909272,0.15495517281738583,0.8341152805805206,0.612675,0.15798008502721786
2,0.8212043411972834,0.6134433241892837,0.15263378663125696,0.8239632477521897,0.616,0.15554465002417564
3,0.8114007020448276,0.6283531928113429,0.15112984377311486,0.8197671591758728,0.619575,0.15465937753915787
4,0.8126727797990176,0.6261533761293998,0.15149237333617369,0.8174615419387817,0.6211,0.15397014688253402
5,0.8182318927678646,0.6220592728602278,0.15260061503476482,0.8103083057403564,0.621675,0.15230532814860345
6,0.8094769982180026,0.6171096853058236,0.15056942386926586,0.8124570438385009,0.6226,0.152858382242918
7,0.8225730894102149,0.6081882065601972,0.15364614080260952,0.8077252178192139,0.62425,0.1518072166085243
8,0.846176247985728,0.6065383440487399,0.15920062625477374,0.8075749042987823,0.62525,0.1517337287247181
9,0.8621479533150623,0.5883287503837337,0.1649546723053647,0.8055067811727524,0.62525,0.1512640756368637
10,0.8081138544187537,0.6300030553191581,0.1504985866854761,0.8049181478261948,0.62605,0.1511003459572792
11,0.8088483140842287,0.6243813015600246,0.1508142070425347,0.8032467647790908,0.627475,0.15080203521847724
12,0.8083087794758149,0.6264589062241142,0.15056846702076992,0.8012297842025757,0.6307,0.15032567945718767
13,0.8144367833804764,0.6199816681961382,0.15193267744085748,0.8022123850345612,0.629475,0.15053777747750283
14,0.8362753774498421,0.605499541723069,0.1567184893437711,0.7995433196544647,0.630075,0.15018862533569335
15,0.8113985127933594,0.6217537427618712,0.15084883771174332,0.7987136863708496,0.630025,0.14987760981321335
16,0.8125409130433849,0.6250534677811438,0.151116784277073,0.796975897860527,0.632525,0.14951057696342468
17,0.8366763795438324,0.5979835013967386,0.1565620302316285,0.7966498717546463,0.63285,0.14943610218167305
18,0.8131470371596572,0.6268255423341291,0.15162049869568822,0.7949366894721985,0.633775,0.14905569434762
19,0.8220168963652884,0.6164375191174841,0.15282601258858897,0.7939288223743439,0.6351,0.1487793543756008
20,0.8222950540913233,0.620164986272999,0.15390323007048506,0.7922582070350647,0.637075,0.14854308394789695
21,0.8097772418196107,0.6263978001978868,0.1511081860493783,0.7907565179347992,0.636325,0.1480610801935196
22,0.8133836136729645,0.6205316223866562,0.15135400617046163,0.7874555324792862,0.639325,0.14743634752631188
23,0.8414825088599753,0.610999083411537,0.1567061237392169,0.7879017961978912,0.6389,0.1477536413371563
24,0.8142588463719744,0.6214482126707991,0.15161784456532335,0.7855289950370788,0.6404,0.14714050751924515
25,0.8158286803110346,0.6210815765462153,0.15225919770003457,0.7837348632335663,0.64095,0.14683290676474572
26,0.8176461307273303,0.6243813015727723,0.15221479691717554,0.7827005587339402,0.642625,0.14669312920570374
27,0.8172097280999407,0.620042774231471,0.1525043498857867,0.7797406780004501,0.642425,0.14595243309438227
28,0.8152890010379776,0.6248701497170308,0.1520784083087984,0.7780514811992645,0.645,0.1456692548274994
29,0.8556789871096939,0.6082493125791401,0.16099187558829292,0.7747475572109223,0.647475,0.14495766453146935
30,0.8226271871940608,0.6172318973600992,0.15300233155498075,0.7726236642837524,0.64915,0.1446046765744686
31,0.8444606786979072,0.6105713412916846,0.15913391887977732,0.7691622389316559,0.64905,0.1438480116069317
32,0.8499076259198117,0.6076382523787849,0.15969101169624353,0.7666841830492019,0.651425,0.14324483475089073
33,0.8258702905324486,0.6190650779211008,0.15382373509897285,0.7623719604969025,0.6537,0.14237894434332848
34,0.8528071378153688,0.6128322639798229,0.15863348111132397,0.7595281733512879,0.65745,0.1420501238167286
35,0.8584463838404776,0.6064161319999275,0.16231778917456854,0.7543829127073288,0.6612,0.14093829098939895
36,0.8426099102212281,0.6150931866970989,0.1563089854320983,0.7505218188285827,0.661675,0.13995558667778968
37,0.8451271457844031,0.6142377024282566,0.15668832970492308,0.7440520995140075,0.6656,0.13876316888332366
38,0.8555014402539294,0.6137488542767137,0.15875656066540364,0.7390396061658859,0.6684,0.13773409464657307
39,0.862272854394735,0.6118545676894848,0.15971218239376023,0.7327750931978225,0.675175,0.13642040821909904
40,0.8763346512493212,0.6017720745639119,0.16359625191834953,0.724603553724289,0.6772,0.1348135810673237
41,0.8792594030112474,0.5960892147985832,0.16334001689721347,0.7183759532928466,0.680025,0.13369089024662972
42,0.8911575635456361,0.5956003666470403,0.16551091006652244,0.7092189231157303,0.685925,0.13188153629004956
43,0.8960218037518747,0.5925450657035392,0.16671503307602292,0.7023334257602691,0.690575,0.1304045149922371
44,0.8868496686101798,0.6053773296778988,0.1636310606247928,0.6929444151401519,0.6967,0.1286793809056282
45,0.917527323332978,0.6074549343292407,0.1671070185725273,0.6808760061740875,0.704575,0.125986804369092
46,0.9194289119535727,0.5983501374994692,0.16745507377770347,0.6710941846132279,0.70725,0.12426357413530349
47,0.9793810891988552,0.5778796211445036,0.18304227056158742,0.6606882805347443,0.71315,0.12225491158366203
48,0.923295119382029,0.5949282004386688,0.16743329847911576,0.6497802473068237,0.7183,0.11994236187338829
49,0.9530203850051514,0.5944393522871259,0.1728959373348975,0.635448662519455,0.72755,0.11690471823215484
