,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,rps_train,std_train,rps_test,std_test
0,0.8,0.05,4,2,142,0.8,0.10935637812964136,0.0004360188538764183,0.1101384564987235,0.002109010409081896
1,0.8,0.01,3,3,582,0.7,0.10974140709121047,0.0004940922053952642,0.11017411209785422,0.002185174382365453
2,0.8,0.1,5,1,280,0.9,0.10850763878487853,0.0004058432724162854,0.11060660898148093,0.002048704953472036
3,0.8,0.05,1,4,771,0.9,0.10974652093119482,0.0005209727905517471,0.11011860126364295,0.0021795270441510427
4,0.6,0.05,1,2,279,0.7,0.11009416679836947,0.0005667465222699707,0.11029137855337703,0.0022174891035165105
5,0.6,0.1,5,3,806,0.9,0.10947283735971931,0.00048152151388480905,0.11038675160190478,0.002182863749105581
6,0.8,0.1,5,2,358,1.0,0.10876024209533015,0.0004066042266445618,0.11048953762048436,0.0020641927009723607
7,0.8,0.01,5,2,56,0.9,0.16297633463300845,0.0002965767279395138,0.16317806760455042,0.0009919076818216389
8,1.0,0.05,5,1,939,0.9,0.10815069106985349,0.0004042934119697084,0.11097008216880565,0.002093851058636822
9,0.6,0.05,5,2,479,0.8,0.10953276512894483,0.0005019996214662744,0.11034854717740161,0.0021709356634161707
10,0.7,0.01,1,4,106,0.9,0.14427320306241942,0.00046744680835117164,0.14429302469774685,0.001138923741639188
11,0.7,0.01,1,1,131,0.7,0.1358275088513942,0.0005160831974181923,0.135855130356731,0.0013183648514141773
12,0.8,0.01,1,4,237,0.9,0.1197913979913017,0.00059736636517752,0.11983280997785127,0.001836234276758703
13,0.9,0.05,4,4,707,0.9,0.108899914715697,0.00042067748466333914,0.11044958768496597,0.0020179192520091054
14,0.7,0.01,4,3,661,1.0,0.10943945883217654,0.00044549752169869395,0.11015987938031399,0.0021427451882394867
15,1.0,0.01,4,1,860,1.0,0.10921722210466744,0.00039867114274839613,0.11021567788068579,0.0021731386405764654
16,1.0,0.05,3,3,498,1.0,0.10923049381844521,0.00044643147539264816,0.11027785274614069,0.002127919141044816
17,0.9,0.01,3,2,461,1.0,0.10997776772126211,0.0004948097580136819,0.11039294848232935,0.0022050655986423705
18,0.8,0.01,4,2,337,0.9,0.11018679139825656,0.00047670542241298785,0.11069629596974466,0.0020827564283130984
19,0.9,0.05,4,4,829,1.0,0.10903755417833491,0.0004011732486524945,0.11038800190162433,0.002032495069942191
20,0.8,0.01,2,1,335,0.7,0.11192227042457278,0.0005598491634394946,0.11208351572145295,0.0022323176516727394
21,0.9,0.05,5,4,789,0.9,0.10865436042452721,0.00042443248570944253,0.11065907344471382,0.0020294775052279155
22,0.6,0.1,3,4,18,1.0,0.13007106398150955,0.0005260711558294613,0.13022047399302372,0.0015779087153861406
23,0.7,0.01,2,2,911,0.8,0.10975488501954456,0.0005046383390415952,0.11013392479129716,0.0022188046235767263
24,0.8,0.05,4,3,617,0.7,0.10892133638694423,0.00042213262980175424,0.11044160430616166,0.002042326542906444
25,0.9,0.05,1,4,737,0.7,0.10974646110862037,0.000521853927476007,0.1101339022831215,0.002180531575508392
26,0.8,0.01,3,3,755,0.7,0.10959215279617977,0.00047868775102250964,0.11011373723454494,0.002165318727551775
27,1.0,0.05,4,3,914,1.0,0.10892765124404558,0.00042683729255779776,0.11049589276309903,0.0020891843293933854
28,0.9,0.1,2,3,561,0.9,0.10928242761858353,0.00044151200311979096,0.11024602018790504,0.002094300144383989
29,0.6,0.1,2,3,104,0.9,0.11000741199093104,0.0005862911445895526,0.11023247647594658,0.002240307598666103
30,0.9,0.05,3,3,937,0.8,0.10904921184418712,0.00042988408590045185,0.11035160865062317,0.0020453498873817025
31,0.6,0.01,5,1,873,0.8,0.1097380375689881,0.000513388496444285,0.11034056895138454,0.0022185740117586276
32,1.0,0.1,2,4,732,0.8,0.10923828097308821,0.00045405103692267094,0.11031348716394625,0.0020945523303187046
33,0.6,0.05,2,4,676,0.9,0.10970003396057484,0.0005222199651697366,0.11020066354535782,0.002199092161454903
34,1.0,0.1,2,4,455,0.7,0.109331236355434,0.00046768933382953896,0.1102474782939351,0.0020778189756908397
35,0.9,0.01,1,4,434,0.8,0.11346716807016603,0.0005989302096232412,0.11353915097115345,0.0022254165271268123
36,0.9,0.1,5,1,614,1.0,0.10856825651793933,0.0003911885896789523,0.11059839603978378,0.0020516367480778535
37,0.7,0.01,1,3,706,0.7,0.11121315090564306,0.0005726968512654947,0.11135660018434544,0.002297055542914433
38,1.0,0.01,2,3,563,1.0,0.11027175528453173,0.0005245335261942344,0.11056422781108823,0.002312070359231767
39,0.7,0.1,3,1,573,0.8,0.10884455181061936,0.00040206064583489314,0.11040844691528925,0.002078596164225192
40,1.0,0.1,4,3,159,0.9,0.10904387630590377,0.0004415097449456576,0.11033899146502395,0.0021014504444605976
41,0.6,0.1,4,1,62,1.0,0.1101637819127147,0.0005249958909162434,0.11060038295628667,0.0022483892701721663
42,0.9,0.1,4,2,520,1.0,0.10886851367572743,0.00040418184850611355,0.11043396726535652,0.002074648124327473
43,1.0,0.05,3,3,176,0.8,0.10947459873665796,0.0004726549665582912,0.11012821145877878,0.0021667274779106458
44,0.9,0.05,2,2,303,0.7,0.10955856939819027,0.0004775457473362744,0.11010839683580263,0.002178674368924293
45,1.0,0.01,3,2,375,0.7,0.1101487116655843,0.0004992705684313493,0.1105148495036347,0.0021875878680370103
46,0.8,0.1,2,2,325,0.7,0.10936449486309381,0.000446053639078801,0.11017337810079128,0.0020962753595704054
47,0.7,0.1,5,3,784,0.9,0.10841575489651582,0.00042252328316814806,0.11090693307894947,0.002092156111429982
48,0.9,0.1,2,3,9,1.0,0.14060914936900062,0.00043171462390249963,0.14066354651256674,0.001418635513742759
49,0.8,0.05,1,2,784,0.7,0.10972005248155625,0.0005143816206229895,0.11014207247157617,0.0021831713245023024
50,0.8,0.01,2,1,269,0.8,0.11333619565629519,0.0005723894674389032,0.11345515250980039,0.002148843305530859
51,1.0,0.01,2,4,466,1.0,0.11068595865350046,0.0005371125545185633,0.11094159142021225,0.002342688301546119
52,0.7,0.1,2,4,704,0.8,0.10927865529321612,0.00044981889926500214,0.11025939548260347,0.002076166515178603
53,0.8,0.01,2,2,18,0.8,0.20784291114764586,0.00012825877137984695,0.20785155649647144,0.00036877894921714206
54,0.9,0.05,1,1,982,0.9,0.10967761735963008,0.0005042890255196335,0.11014585678558264,0.002180339433918337
55,0.7,0.01,2,4,790,0.9,0.1098565351569992,0.0005090024766016979,0.11020513106858054,0.0022357352366304344
56,0.9,0.01,3,2,979,1.0,0.10945848558044062,0.00043982204414481896,0.11013699800089412,0.002165002159333492
57,0.6,0.01,1,3,232,1.0,0.12793539173312457,0.0005475130216976947,0.128020719483994,0.0015412484256672832
58,0.7,0.01,4,1,381,0.8,0.10984298771032022,0.0004552466267580023,0.11041998098082272,0.0021078960791678122
