,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,rps_train,std_train,rps_test,std_test
0,0.6,0.1,4,2,880,0.9,0.15789809754486467,0.0005326987799784839,0.15908320427077605,0.0025520807437587815
1,0.8,0.05,3,2,972,1.0,0.15742840784476633,0.0005068186958768668,0.15893741082887355,0.0024459404041757525
2,0.9,0.05,5,4,285,0.7,0.15724255577707527,0.0005004891113826293,0.1590898304082973,0.00238607761411558
3,0.8,0.05,3,3,959,0.9,0.15729842477640638,0.0005052509015874919,0.15901078751535164,0.002430904261949243
4,0.9,0.1,5,2,400,1.0,0.15700057282851132,0.0004854897705942704,0.15910456086642613,0.0023898426525517887
5,0.9,0.01,4,3,18,1.0,0.21945156507354774,0.00014645671645433487,0.2195237835989621,0.000463761299785946
6,0.7,0.1,5,1,34,0.8,0.15812779178136335,0.0004924869180909863,0.15917282149889989,0.002405618328751794
7,0.6,0.05,4,3,292,0.8,0.15812185296469577,0.0005737489346481609,0.15891537255281918,0.0025552691968192347
8,0.6,0.1,4,1,669,0.9,0.15784551518396578,0.0005223791149633484,0.15909180687474475,0.0025327383599036365
9,0.6,0.01,5,3,383,0.7,0.16034662467621172,0.0006067730470823131,0.1607716777108612,0.002439687697882588
10,0.9,0.1,1,4,135,0.9,0.1587041675786101,0.0006083138918231681,0.1590180087339816,0.0024743789627151734
11,1.0,0.1,3,2,635,0.7,0.15706426740079812,0.0004972533973414288,0.15912923573643825,0.0024277525474982447
12,0.6,0.1,3,4,804,0.8,0.15803745199367897,0.0005619826090677196,0.159056904627742,0.002527768191746428
13,1.0,0.1,3,1,243,0.9,0.15734587601254085,0.0005115343514583464,0.15889029655520004,0.002410790954343343
14,0.8,0.01,5,3,668,1.0,0.1575045563868282,0.0005057816597631813,0.15881903587820467,0.0024303774872256206
15,1.0,0.01,5,1,309,0.8,0.1580067381788371,0.0005106978983834599,0.1591539816387448,0.0023009760418464848
16,0.6,0.05,2,2,620,0.8,0.15811279300938597,0.0005624988179595977,0.158866884559316,0.002560005071520398
17,0.6,0.05,3,2,831,0.8,0.1579819496499157,0.0005478493546522355,0.15898070240333012,0.00256759199386404
18,1.0,0.01,3,4,203,0.7,0.16196195251777742,0.0005716512729667675,0.16237722430558182,0.002289580751999395
