,n_neighbors,rps_train,std_train,rps_test,std_test
0,403,0.19673265611694452,0.00038155160938059914,0.19770000292471476,0.0011926433945838202
1,325,0.19527702439650427,0.00036170244038708784,0.19651288650887574,0.0012016479169143096
2,38,0.17952272776938083,0.00030661768302672743,0.18922667070637117,0.001197641958057381
3,398,0.19665594728879335,0.0003790743694039925,0.19763301897363703,0.0011951737995163645
4,60,0.1834156570863365,0.000287617811392364,0.18956230902777776,0.001472559393201278
5,386,0.19644347731024756,0.0003714645831866027,0.1974629282833096,0.0011819306473750027
6,51,0.18205709871090345,0.00029470070181846473,0.18930009131103423,0.0014321066696448327
7,106,0.18777344044520056,0.000305988045114542,0.19129433294766818,0.0013331791443547988
8,26,0.17544348286671516,0.0002550852370344931,0.18951965606508875,0.0015931592036487051
9,469,0.19774073161662709,0.00038112347989343963,0.19861288705725105,0.001156904763053117
10,344,0.1956724153463651,0.00035252605607305346,0.19682871315575984,0.0011757111189990472
11,5,0.14231675179475478,0.0002212818549194115,0.21349150000000003,0.0022876032461764764
12,466,0.19769777489644375,0.00038089185709585605,0.19856467378290263,0.0011699417707418333
13,494,0.19809885492355303,0.00037765149868953103,0.19892257238686095,0.001127639876175218
14,381,0.19636501810004847,0.0003714174567163434,0.19739005190788161,0.0011892296573668248
15,72,0.18485201307742843,0.0003392801938673051,0.1899930434992284,0.0014667447793579736
16,305,0.1948373817017875,0.000363816235580178,0.19613277815103466,0.001195078518410503
17,427,0.19712334238589566,0.0003908430679136932,0.19807146182176175,0.001208975044419681
18,423,0.19705620469805493,0.00039375629397035017,0.19801796452782947,0.0011966956371878353
19,363,0.19603676559963784,0.0003672266480563568,0.1971387631954405,0.0011962884087506364
20,497,0.19814200029429516,0.00037682032169635536,0.19895697955337663,0.0011312641164547017
21,196,0.19196170977177168,0.0003526882354490842,0.19390286273948357,0.0013019576082511568
22,357,0.19592387758393634,0.00036186473288665603,0.19705088241178823,0.0011937461420264757
23,493,0.19808247527787562,0.00037859485889970445,0.19891080255421748,0.0011336111175872376
24,278,0.19424554766648527,0.00035228026539416076,0.19564463456213446,0.0012292826059256818
25,109,0.18797515371498236,0.00028558118834935865,0.19142591743119264,0.0013138553984090708
26,217,0.19263034381212382,0.00036971398755299937,0.19437873388689506,0.0012522057763050063
27,371,0.19618764301194552,0.00036851727252243583,0.19724609218910058,0.0011918400376125784
28,351,0.1958068530733136,0.00035731125704322993,0.19694612665481612,0.0011922814042971627
29,353,0.19584592477326926,0.0003586798277086091,0.19698230805961048,0.0011824020921990706
30,366,0.19609543956730308,0.0003719018552859841,0.19718238460763232,0.0011945016281882
31,184,0.19158729234681715,0.00034441496574560287,0.1936028569529773,0.0012722532448169275
32,205,0.19225251521822412,0.00037317600854225487,0.19410146757882213,0.001257087541141379
33,79,0.18561378394687816,0.0002981428203685283,0.19026027078993749,0.0014405069742155086
34,379,0.19632734012481703,0.0003696790174448592,0.19735878936028015,0.0011824126600732715
35,25,0.17498657098273893,0.000256611741151295,0.18964952,0.0016877629509683746
36,242,0.19334567361607735,0.00036018909582670396,0.19495387802233455,0.0012939806074771646
37,496,0.19812869540711026,0.0003760199832314682,0.19894505469156476,0.0011285573778219398
38,495,0.19811250543484082,0.00037726843194863695,0.1989370852464034,0.001125966182214543
39,76,0.18528468178407315,0.00032327767866549925,0.1901491278566482,0.0014245983757474347
40,91,0.1866490193711873,0.0002945916171759315,0.19077388449462623,0.0013651200227429619
41,29,0.17662094518101634,0.00030072142074970845,0.1893297711058264,0.0014755095338404678
42,331,0.1954161114787678,0.0003509658813052186,0.1966211527140132,0.0012033719546034839
43,84,0.1860384437581158,0.00027358459922027133,0.19047676268424038,0.001415049940047243
44,283,0.19436511804313833,0.000353993834252146,0.19575272009888997,0.0012237398470926562
45,144,0.1899757647473125,0.00032116486453596325,0.1926016312210648,0.001301256467674793
46,222,0.1927894657737372,0.0003740933856605647,0.19449647781227172,0.0012579417656942262
47,431,0.19718685652190515,0.000386336946980694,0.19812544566674384,0.0011977050863192676
48,419,0.19698933619985698,0.0003931919605036597,0.19796308127944132,0.0011909339915016127
49,80,0.18569360275512886,0.0002877275946226414,0.190284904296875,0.0014367396082915448
50,16,0.16975483046472895,0.00031565218773971525,0.19218134765625,0.0013642643674997938
51,476,0.19784026235869628,0.00037708102731552986,0.19870637650280698,0.0011422847043369819
52,235,0.19315291290661482,0.00036986613005003487,0.19480194228157535,0.001305160097656336
53,104,0.1876298501024437,0.00030610421768568574,0.1912025633321006,0.0013426201790917387
54,167,0.1909423659684334,0.0003446587210873113,0.19319923625802285,0.001290976728382241
55,341,0.19561350260494154,0.00035428837346406064,0.19678769467926832,0.0011801463871208245
56,250,0.19354154874513596,0.0003533799470962182,0.1950927148,0.00127034876895492
57,298,0.1946944575312827,0.000351572582560956,0.1960307013197604,0.00120591591347983
58,455,0.19754542419133575,0.0003851020541134885,0.19843372255766215,0.0011728600964666254
59,102,0.1874789805568811,0.0002950198586804688,0.191098104094579,0.001325515362296657
