,total,first_win,draw,second_win,p_value,h_first_win,h_draw,h_second_win,h_p_value,a_first_win,a_draw,a_second_win,a_p_value
54,5787.0,1735.0,2323.0,1729.0,0.9323,1038.0,1203.0,743.0,0.0,697.0,1120.0,986.0,0.0
55,5869.0,1721.0,2396.0,1752.0,0.6107,1025.0,1243.0,743.0,0.0,696.0,1153.0,1009.0,0.0
56,5934.0,1717.0,2460.0,1756.0,0.5191,1014.0,1277.0,733.0,0.0,703.0,1183.0,1023.0,0.0
57,6017.0,1728.0,2526.0,1763.0,0.565,1028.0,1309.0,740.0,0.0,700.0,1217.0,1023.0,0.0
58,6046.0,1721.0,2578.0,1746.0,0.6836,1024.0,1351.0,739.0,0.0,697.0,1227.0,1007.0,0.0
59,6053.0,1696.0,2624.0,1733.0,0.5387,1010.0,1378.0,736.0,0.0,686.0,1246.0,997.0,0.0
60,6066.0,1686.0,2666.0,1714.0,0.6433,1002.0,1403.0,735.0,0.0,684.0,1263.0,979.0,0.0
61,6104.0,1665.0,2734.0,1705.0,0.5017,985.0,1444.0,731.0,0.0,680.0,1290.0,974.0,0.0
62,6122.0,1651.0,2805.0,1666.0,0.8079,983.0,1489.0,710.0,0.0,668.0,1316.0,956.0,0.0
63,6141.0,1625.0,2886.0,1630.0,0.9441,974.0,1527.0,706.0,0.0,651.0,1359.0,924.0,0.0
64,6157.0,1592.0,2956.0,1609.0,0.7773,958.0,1570.0,691.0,0.0,634.0,1386.0,918.0,0.0
65,6178.0,1566.0,3022.0,1589.0,0.6953,946.0,1606.0,691.0,0.0,620.0,1416.0,898.0,0.0
66,6187.0,1544.0,3082.0,1561.0,0.774,926.0,1640.0,678.0,0.0,618.0,1442.0,883.0,0.0
67,6167.0,1503.0,3135.0,1529.0,0.6498,905.0,1659.0,671.0,0.0,598.0,1476.0,858.0,0.0
68,6211.0,1487.0,3206.0,1518.0,0.5842,892.0,1691.0,660.0,0.0,595.0,1515.0,858.0,0.0
69,6218.0,1454.0,3283.0,1481.0,0.6313,871.0,1741.0,637.0,0.0,583.0,1542.0,844.0,0.0
70,6221.0,1422.0,3358.0,1441.0,0.7366,846.0,1785.0,623.0,0.0,576.0,1573.0,818.0,0.0
71,6215.0,1375.0,3440.0,1400.0,0.6487,819.0,1831.0,607.0,0.0,556.0,1609.0,793.0,0.0
72,6225.0,1332.0,3522.0,1371.0,0.4648,782.0,1863.0,602.0,0.0,550.0,1659.0,769.0,0.0
73,6226.0,1289.0,3593.0,1344.0,0.2926,753.0,1905.0,585.0,0.0,536.0,1688.0,759.0,0.0
74,6230.0,1238.0,3678.0,1314.0,0.1376,723.0,1946.0,573.0,0.0,515.0,1732.0,741.0,0.0
75,6213.0,1189.0,3766.0,1258.0,0.1692,684.0,1999.0,547.0,0.0001,505.0,1767.0,711.0,0.0
76,6183.0,1140.0,3845.0,1198.0,0.2385,654.0,2049.0,529.0,0.0003,486.0,1796.0,669.0,0.0
77,6189.0,1104.0,3917.0,1168.0,0.1863,637.0,2096.0,521.0,0.0007,467.0,1821.0,647.0,0.0
78,6158.0,1045.0,3999.0,1114.0,0.1433,601.0,2136.0,498.0,0.0021,444.0,1863.0,616.0,0.0
79,6126.0,975.0,4095.0,1056.0,0.0758,558.0,2186.0,474.0,0.0097,417.0,1909.0,582.0,0.0
80,6132.0,931.0,4168.0,1033.0,0.0226,537.0,2221.0,462.0,0.0192,394.0,1947.0,571.0,0.0
81,6125.0,867.0,4262.0,996.0,0.003,491.0,2268.0,451.0,0.2038,376.0,1994.0,545.0,0.0
82,6070.0,805.0,4330.0,935.0,0.002,457.0,2305.0,417.0,0.1871,348.0,2025.0,518.0,0.0
83,6033.0,751.0,4436.0,845.0,0.0199,426.0,2367.0,382.0,0.1303,325.0,2069.0,463.0,0.0
84,6013.0,689.0,4552.0,772.0,0.0319,397.0,2425.0,353.0,0.1163,292.0,2127.0,419.0,0.0
85,5980.0,621.0,4657.0,702.0,0.0278,353.0,2486.0,326.0,0.3184,268.0,2171.0,376.0,0.0
86,5942.0,548.0,4774.0,620.0,0.0377,307.0,2549.0,294.0,0.6245,241.0,2225.0,326.0,0.0004
87,5881.0,467.0,4887.0,527.0,0.0612,262.0,2609.0,248.0,0.5649,205.0,2278.0,279.0,0.0009
88,5825.0,399.0,4999.0,427.0,0.3475,226.0,2665.0,200.0,0.2258,173.0,2334.0,227.0,0.008
89,5798.0,331.0,5118.0,349.0,0.5145,190.0,2727.0,159.0,0.1082,141.0,2391.0,190.0,0.0082
90,5766.0,251.0,5250.0,265.0,0.5672,143.0,2794.0,120.0,0.1748,108.0,2456.0,145.0,0.0234
91,5756.0,189.0,5384.0,183.0,0.7955,104.0,2864.0,75.0,0.0361,85.0,2520.0,108.0,0.1131
92,5716.0,99.0,5521.0,96.0,0.8862,56.0,2940.0,43.0,0.2276,43.0,2581.0,53.0,0.3584
93,5698.0,34.0,5637.0,27.0,0.4426,21.0,2996.0,16.0,0.5114,13.0,2641.0,11.0,0.8388
94,5704.0,5.0,5692.0,7.0,0.7744,2.0,3023.0,4.0,0.6875,3.0,2669.0,3.0,1.0
95,5713.0,1.0,5711.0,1.0,1.0,0.0,3031.0,1.0,1.0,1.0,2680.0,0.0,1.0
