,turned_total,turned_winning,turned_draw,turned_loosing,balanced_total,balanced_winning,balanced_draw,balanced_loosing,reaction_total,reaction_winning,reaction_draw,reaction_loosing,p_balanced_reaction,p_balanced_turned,p_turned_reaction
49,1192.0,860.0,222.0,110.0,1186.0,845.0,224.0,117.0,1200.0,854.0,245.0,101.0,0.10918,0.6959,0.22276
50,1252.0,907.0,229.0,116.0,1225.0,871.0,234.0,120.0,1255.0,897.0,254.0,104.0,0.09117,0.43258,0.1383
51,1306.0,955.0,231.0,120.0,1295.0,923.0,252.0,120.0,1278.0,912.0,263.0,103.0,0.18281,0.22522,0.01274
52,1378.0,1008.0,244.0,126.0,1333.0,961.0,256.0,116.0,1327.0,953.0,275.0,99.0,0.11654,0.16735,0.0009
53,1440.0,1056.0,261.0,123.0,1392.0,1005.0,267.0,120.0,1371.0,987.0,283.0,101.0,0.0904,0.26261,0.00347
54,1506.0,1112.0,269.0,125.0,1421.0,1030.0,275.0,116.0,1418.0,1028.0,289.0,101.0,0.23342,0.0329,0.00093
55,1557.0,1148.0,278.0,131.0,1462.0,1064.0,280.0,118.0,1459.0,1049.0,305.0,105.0,0.14419,0.0241,0.00011
56,1603.0,1179.0,291.0,133.0,1503.0,1104.0,283.0,116.0,1475.0,1058.0,312.0,105.0,0.05372,0.02782,1e-05
57,1626.0,1196.0,302.0,128.0,1545.0,1134.0,290.0,121.0,1517.0,1084.0,326.0,107.0,0.01731,0.13044,0.00016
58,1679.0,1242.0,309.0,128.0,1574.0,1163.0,289.0,122.0,1540.0,1102.0,333.0,105.0,0.00255,0.03687,0.0
59,1727.0,1285.0,314.0,128.0,1603.0,1193.0,293.0,117.0,1595.0,1154.0,341.0,100.0,0.00416,0.01147,0.0
60,1776.0,1317.0,334.0,125.0,1632.0,1218.0,298.0,116.0,1621.0,1184.0,343.0,94.0,0.00244,0.00252,0.0
61,1818.0,1353.0,339.0,126.0,1665.0,1259.0,294.0,112.0,1655.0,1218.0,344.0,93.0,0.0019,0.00089,0.0
62,1859.0,1394.0,342.0,123.0,1689.0,1282.0,296.0,111.0,1679.0,1241.0,344.0,94.0,0.00384,0.00028,0.0
63,1929.0,1454.0,349.0,126.0,1735.0,1328.0,297.0,110.0,1698.0,1254.0,351.0,93.0,0.00037,3e-05,0.0
64,1956.0,1491.0,343.0,122.0,1790.0,1371.0,309.0,110.0,1747.0,1292.0,359.0,96.0,0.00099,0.00082,0.0
65,2005.0,1543.0,346.0,116.0,1841.0,1414.0,320.0,107.0,1768.0,1318.0,359.0,91.0,0.00089,0.00121,0.0
66,2044.0,1584.0,348.0,112.0,1862.0,1443.0,320.0,99.0,1840.0,1383.0,366.0,91.0,0.01063,0.00029,0.0
67,2082.0,1624.0,353.0,105.0,1914.0,1492.0,329.0,93.0,1872.0,1406.0,376.0,90.0,0.00363,0.00104,0.0
68,2115.0,1654.0,364.0,97.0,1936.0,1512.0,330.0,94.0,1888.0,1428.0,373.0,87.0,0.00535,0.00044,0.0
69,2156.0,1701.0,364.0,91.0,1982.0,1562.0,331.0,89.0,1937.0,1471.0,380.0,86.0,0.00241,0.00075,0.0
70,2184.0,1735.0,363.0,86.0,2013.0,1592.0,332.0,89.0,1989.0,1514.0,390.0,85.0,0.00163,0.0007,0.0
71,2223.0,1773.0,370.0,80.0,2050.0,1627.0,335.0,88.0,2012.0,1547.0,380.0,85.0,0.00835,0.00031,0.0
72,2257.0,1815.0,366.0,76.0,2090.0,1668.0,338.0,84.0,2037.0,1581.0,375.0,81.0,0.01392,0.00058,0.0
73,2294.0,1851.0,371.0,72.0,2105.0,1697.0,331.0,77.0,2063.0,1615.0,367.0,81.0,0.01933,0.00016,0.0
74,2319.0,1880.0,365.0,74.0,2135.0,1730.0,327.0,78.0,2083.0,1641.0,365.0,77.0,0.0123,0.00031,0.0
75,2345.0,1925.0,354.0,66.0,2172.0,1767.0,330.0,75.0,2105.0,1686.0,348.0,71.0,0.08014,0.00037,0.0
76,2371.0,1969.0,343.0,59.0,2196.0,1798.0,327.0,71.0,2115.0,1708.0,342.0,65.0,0.05094,0.00012,0.0
77,2381.0,1994.0,336.0,51.0,2201.0,1821.0,320.0,60.0,2158.0,1751.0,348.0,59.0,0.07933,0.00017,0.0
78,2415.0,2039.0,321.0,55.0,2244.0,1872.0,316.0,56.0,2159.0,1766.0,338.0,55.0,0.02012,0.00102,0.0
79,2452.0,2084.0,316.0,52.0,2261.0,1911.0,305.0,45.0,2184.0,1797.0,333.0,54.0,0.00391,0.00039,0.0
80,2439.0,2088.0,301.0,50.0,2271.0,1933.0,300.0,38.0,2191.0,1829.0,316.0,46.0,0.01729,0.00075,0.0
81,2445.0,2120.0,283.0,42.0,2305.0,1976.0,297.0,32.0,2209.0,1862.0,304.0,43.0,0.00689,0.00162,0.0
82,2469.0,2160.0,271.0,38.0,2321.0,2005.0,291.0,25.0,2220.0,1891.0,291.0,38.0,0.00348,0.0002,0.0
83,2511.0,2219.0,260.0,32.0,2342.0,2047.0,277.0,18.0,2220.0,1915.0,274.0,31.0,0.00068,3e-05,0.0
84,2527.0,2259.0,244.0,24.0,2359.0,2090.0,251.0,18.0,2224.0,1943.0,260.0,21.0,0.00266,0.00077,0.0
85,2541.0,2295.0,228.0,18.0,2385.0,2141.0,229.0,15.0,2235.0,1979.0,242.0,14.0,0.0009,0.00443,0.0
86,2558.0,2338.0,212.0,8.0,2392.0,2175.0,204.0,13.0,2245.0,2016.0,219.0,10.0,0.00072,0.00061,0.0
87,2595.0,2398.0,191.0,6.0,2427.0,2227.0,189.0,11.0,2255.0,2052.0,197.0,6.0,6e-05,0.00028,0.0
88,2621.0,2461.0,159.0,1.0,2430.0,2260.0,164.0,6.0,2285.0,2101.0,180.0,4.0,0.00073,0.0,0.0
89,2639.0,2503.0,136.0,0.0,2448.0,2299.0,145.0,4.0,2308.0,2155.0,151.0,2.0,0.00266,0.0,0.0
90,2655.0,2551.0,104.0,0.0,2461.0,2347.0,112.0,2.0,2331.0,2213.0,117.0,1.0,0.00943,0.0,0.0
91,2666.0,2597.0,69.0,0.0,2463.0,2378.0,84.0,1.0,2338.0,2253.0,84.0,1.0,0.03119,0.0,0.0
92,2683.0,2637.0,46.0,0.0,2469.0,2416.0,52.0,1.0,2344.0,2293.0,51.0,0.0,0.0,0.0,
93,2686.0,2667.0,19.0,0.0,2470.0,2442.0,28.0,0.0,2328.0,2303.0,25.0,0.0,,,
94,2678.0,2672.0,6.0,0.0,2452.0,2450.0,2.0,0.0,2321.0,2317.0,4.0,0.0,,,
95,2675.0,2674.0,1.0,0.0,2450.0,2450.0,0.0,0.0,2316.0,2316.0,0.0,0.0,,,
