,goals,corners,on_target,off_target,attacks,dangerous_attacks,yellow_cards,red_cards,possession
0,0.24577080230648796,0.25140336808340014,0.24836751059686105,0.2484438843701073,0.3628708901363272,0.3362164432733799,0.2418948333142399,0.2413793103448276,0.40096230954290296
1,0.2561958223546034,0.2680910375377096,0.2667163096192767,0.266353534196357,0.3806086989727728,0.3817924924580899,0.24250582350021002,0.24143659067476228,0.42293886279451637
2,0.266792683392523,0.28391950204299843,0.28615343491045175,0.28136098063924847,0.3926375682590598,0.39712452743727805,0.2433268415626074,0.24155115133463168,0.43313476152289304
3,0.27719860999732693,0.2975713140107687,0.30337572077748504,0.29537556802993853,0.400255852140375,0.40770229503188604,0.24433879405812045,0.24170389888112423,0.4368961698552717
4,0.28764272348875397,0.31122312597853896,0.31987245579867873,0.309237407874136,0.40670943597968456,0.41816550196662466,0.2452170924504525,0.2418948333142399,0.44250964218887234
5,0.2985450796196586,0.32256463130560964,0.33480352846832395,0.32199182800626264,0.4146714018406079,0.42771222362240807,0.2469545957918051,0.24202848741742086,0.4452972849123611
6,0.3092183144308245,0.3324932218276244,0.3468705846412342,0.3311757742391263,0.41875739870928325,0.43267651888341546,0.2478710810707603,0.2421812349639134,0.4487341047084431
7,0.3190132508496582,0.34228815824645814,0.3585557719479131,0.33955779585290413,0.4233207316607477,0.43710619773169895,0.24863481880322297,0.24220032840722497,0.4506625424829114
8,0.3285217856188185,0.34891358307557185,0.36962996906862183,0.34740520105395806,0.42664299079696033,0.44134494214686676,0.2502959483713293,0.24231488906709436,0.4533165311032192
9,0.3387558712338183,0.35488983083209225,0.3800168022301142,0.3543934013059915,0.42962156795356476,0.4441516783136671,0.2523771336922901,0.24231488906709436,0.45343109176308855
10,0.3488753961889487,0.36111429335166306,0.38870431893687707,0.35977775231985337,0.43124451063504793,0.44802764730591516,0.25386642227059225,0.24227670218047123,0.45417573605223965
11,0.35817390308168173,0.36632680337572077,0.3980219192729217,0.36388284263184023,0.4319127811509528,0.4513689998854393,0.2557948600450605,0.2424676366135869,0.45400389506243555
12,0.3682743345935006,0.37186390193607516,0.40516286707144766,0.3697254362851797,0.4349295451941803,0.4540229885057471,0.25751326994310153,0.242639477603391,0.4539275212891893
13,0.37724825294993697,0.37648451521747434,0.4140795050979494,0.3744224233398251,0.43716347806163364,0.45742162141520604,0.2599954175736052,0.24279222514988352,0.45608508038339635
14,0.3857448352235842,0.3792148776110284,0.421545041432772,0.37801199068239966,0.4383663649902623,0.4571543132088441,0.2615419864818421,0.2430977202428686,0.45642876236300456
15,0.39504334211631725,0.3843701073051514,0.4281513728185741,0.3828235383969145,0.4403138962080422,0.461564898613816,0.2634513308129988,0.243212280902738,0.4580898919311109
16,0.40447550311223124,0.3884179172872036,0.4328483598732195,0.38643219918280064,0.4389200748462978,0.46391339214113875,0.2654752358040249,0.2432695612326727,0.45816626570435715
17,0.4124947493030893,0.38992629930881734,0.4376980944743575,0.38948715011265134,0.4405239240844694,0.4647916905334708,0.26759460801160884,0.24351777599572308,0.4565051361362508
18,0.4195784167716806,0.3931912781150953,0.44262420284874177,0.3919311108565319,0.44113491427043955,0.4646771298736014,0.26954213922938863,0.24380417764539658,0.45717340665215567
