minute,benefited,draw,punished
0,2,1,2
1,5,3,1
2,6,1,3
3,8,0,2
4,13,3,2
5,6,0,3
6,9,2,2
7,5,5,1
8,9,4,0
9,6,9,1
10,4,5,8
11,14,4,2
12,10,3,2
13,6,1,1
14,17,4,2
15,10,4,7
16,5,4,5
17,17,5,3
18,16,6,1
19,10,9,0
20,12,8,3
21,12,7,4
22,11,7,7
23,14,3,3
24,13,4,2
25,27,4,8
26,20,7,8
27,23,11,8
28,20,10,5
29,35,8,2
30,24,2,6
31,23,5,9
32,21,3,6
33,32,9,9
34,23,9,8
35,20,15,12
36,31,9,5
37,28,12,5
38,23,14,7
39,27,9,10
40,30,15,12
41,36,9,14
42,29,17,11
43,38,8,11
44,111,46,32
45,14,2,3
46,30,6,6
47,24,7,6
48,33,11,11
49,35,19,13
50,34,10,9
51,38,16,6
52,36,14,11
53,37,13,10
54,41,13,17
55,43,14,18
56,44,15,16
57,44,22,8
58,41,18,19
59,42,14,11
60,45,20,15
61,48,22,14
62,53,19,10
63,37,14,11
64,43,14,13
65,70,24,10
66,48,25,19
67,39,28,16
68,39,28,17
69,56,20,14
70,57,26,26
71,45,27,20
72,59,31,25
73,63,18,23
74,51,24,18
75,57,28,21
76,53,27,28
77,56,27,29
78,52,27,22
79,82,27,24
80,65,38,33
81,77,30,25
82,77,36,35
83,60,35,26
84,79,42,27
85,77,46,28
86,70,43,28
87,74,42,25
88,83,42,34
89,126,66,45
90,81,49,32
91,102,43,35
92,91,50,35
93,63,21,22
94,41,17,15
95,7,6,1
